name
Action
Combat
Beat them all
Plates-formes
Tir
FPS
Shoot them up
Rail Shooter
Tir en vue objective
Aventure
Fiction interactive
Aventure graphique
Simulation de drague
Visual novel
Action-aventure
Infiltration
Survival horror
RPG
Action RPG
Hack'n'slash
Rogue-like
MMORPG
Tactical RPG
Réflexion
Labyrinthe
Puzzle
Simulation
Gestion
God Game
Simulation de véhicule
Stratégie
Stratégie au tour par tour
Stratégie en temps réel
Grande stratégie
4X
Wargame
Autres genres
Sport
Course
Rythme
Jeu de programmation
